id,PipelineChainage,ROUMarker,ODMeter,Latitude,Longitude,ControllerName,ChannelID,TerrainClassification,LandmarkDescription,AddionalDecription,VulnerablePoint,regioninfoId
35,9899.99999999999,Turning Point,12347,29.91502201,75.04688578,12,1,Farm land,Agricultural Land,,f,1
36,9999.99999999999,KM Post,12557,29.914145,75.04898,12,1,Farm land,Agricultural Land,,f,1
37,10900,Turning Point,13560,29.90964159,75.05796739,12,1,Farm land,Agricultural Land,,f,1
38,11000,KM Post,13620,29.90941714,75.05838979,12,1,Farm land,Agricultural Land,,f,1
39,11400,Warning Board,14045,29.90737522,75.06174476,12,1,Farm land,Agricultural Land,Warning Board,f,1
40,12000,KM Post,14690,29.90452247,75.06719737,12,1,Farm land,Agricultural Land,,f,1
41,12800,Warning Board,15527,29.90024318,75.074237,12,1,Farm land,Agricultural Land,Warning Board,f,1
42,13000,KM Post,15733,29.8993521,75.07555636,12,1,Farm land,Minor Road Crossing,,t,1
43,14000,KM Post,16788,29.89414819,75.08408678,12,1,Farm land,Minor Road Crossing,,t,1
44,15000,KM Post,17544,29.89057659,75.09063574,12,1,Farm land,Agricultural Land,,f,1
45,15500,Warning Board,17965,29.88857353,75.09423882,12,1,Farm land,Agricultural Land,Warning Board,f,1
46,16000,KM Post,18373,29.88808,75.09511,12,1,Farm land,Agricultural Land,,f,1
47,16400,Turning Point,18748,29.88514,75.10097,12,1,Farm land,Agricultural Land,,f,1
48,16500,Turning Point,18852,29.88476219,75.10178423,12,1,Farm land,Minor Road Crossing,,t,1
49,17000,KM Post,19330,29.8827908,75.10584595,12,1,Farm land,Agricultural Land,,f,1
50,17500,Warning Board,19878,29.88038097,75.11062836,12,1,Farm land,Agricultural Land,Warning Board,f,1
51,18000,KM Post,20423,29.87816984,75.11407244,12,1,Farm land,Agricultural Land,,f,1
52,18700,Turning Point,21249,29.87446334,75.12132548,12,1,Farm land,Agricultural Land,,f,1
53,18800,Turning Point,21365,29.87411438,75.12238166,12,1,Farm land,Agricultural Land,,f,1
54,19000,KM Post,21614,29.87338,75.12483,12,1,Farm land,Agricultural Land,,f,1
55,19200,Turning Point,21770,29.87338,75.12483,12,1,Farm land,Minor Road Crossing,,t,1
56,19400,Warning Board,21969,29.8717122,75.12784151,12,1,Farm land,Agricultural Land,Warning Board,f,1
57,19500,Turning Point,22058,29.87144055,75.12816757,12,1,Farm land,Agricultural Land,,f,1
58,20000,KM Post,22504,29.87108439,75.12850677,12,1,Farm land,Agricultural Land,,f,1
59,20300,Warning Board,22792,29.86778621,75.13369871,12,1,Farm land,Agricultural Land,Warning Board,f,1
60,20500,Turning Point,22943,29.86653083,75.13503957,12,1,Farm land,Agricultural Land,,f,1
61,20800,Turning Point,23193,29.86493846,75.13691583,12,1,Farm land,Agricultural Land,,f,1
62,21000,KM Post,23360,29.86376273,75.13804043,12,1,Farm land,Agricultural Land,,f,1
63,21600,Warning Board,23864,29.86038667,75.141407,12,1,Farm land,Agricultural Land,Warning Board,f,1
64,22000,KM Post,24185,29.85814255,75.14364685,12,1,Farm land,Agricultural Land,,f,1
65,22700,Turning Point,24899,29.8533816,75.14832556,12,1,Farm land,Agricultural Land,,f,1
66,22800,Turning Point,24988,29.85280245,75.14886491,12,1,Farm land,Cart Track (Kachha Road),,t,1
67,23000,KM Post,25188,29.8513402,75.1501218,12,1,Farm land,Agricultural Land,,f,1
68,23300,Bounday Pillar,25586,29.84849784,75.15248852,12,1,Farm land,Agricultural Land,,f,1
69,23600,Warning Board,26022,29.84530277,75.15513092,12,1,Farm land,Agricultural Land,Warning Board,f,1
70,23800,Turning Point,26299,29.84328753,75.15685903,12,1,Farm land,Agricultural Land,,f,1
71,24000,KM Post,26576,29.84151,75.1583801,12,1,Farm land,Agricultural Land,,f,1
72,24800,Turning Point,27251,29.8367295,75.16243829,12,1,Farm land,Agricultural Land,,f,1
73,25000,KM Post,27428,29.83538583,75.1635825,12,1,Farm land,Agricultural Land,,f,1
74,25100,Warning Board,27514,29.83484614,75.1643931,12,1,Farm land,Minor Road Crossing,Warning Board,t,1
75,25200,Turning Point,27607,29.83433779,75.16524035,12,1,Farm land,Agricultural Land,,f,1
76,25600,Warning Board,28005,29.83221704,75.16811452,12,1,Farm land,Agricultural Land,Warning Board,f,1
77,26000,KM Post,28400,29.83101785,75.17188394,12,1,Farm land,Agricultural Land,,f,1
78,26100,Turning Point,24502,29.83064845,75.17277434,12,1,Farm land,Agricultural Land,,f,1
79,26400,Turning Point,28850,29.83040204,75.17636253,12,1,Farm land,Agricultural Land,,f,1
80,26500,Turning Point,28978,29.83030328,75.17758282,12,1,Farm land,Agricultural Land,,f,1
81,26800,Turning Point,29319,29.82970974,75.1810735,12,1,Farm land,Agricultural Land,,f,1
82,27000,KM Post,29550,29.829239,75.1830295,12,1,Farm land,Agricultural Land,,f,1
83,27500,Turning Point,30082,29.8272145,75.18718756,12,1,Farm land,Agricultural Land,,f,1
84,28000,KM Post,30614,29.8240182,75.1895371,12,1,Farm land,Major Road Crossing,,t,1
85,28400,Turning Point,31110.8,29.82310973,75.19376843,12,1,Farm land,Minor Road Crossing,,t,1
86,29800,Turning Point,32699,29.81378967,75.20315967,12,1,Farm land,Agricultural Land,,f,1
87,30000,KM Post,32924,29.81198009,75.2047228,12,1,Farm land,Minor Road Crossing,,t,1
88,31000,KM Post,33895,29.806388,75.21085449,12,1,Farm land,Cart Track (Kachha Road),,t,1
89,31500,Warning Board,34373,29.80353629,75.21440345,12,1,Farm land,Agricultural Land,Warning Board,f,1
90,32000,KM Post,34839,29.80065185,75.2178754,12,1,Farm land,Cart Track (Kachha Road),,t,1
91,32800,Warning Board,35773,29.79523487,75.22457259,12,1,Farm land,Agricultural Land,Warning Board,f,1
92,33000,KM Post,36007,29.79562,75.22412,12,1,Farm land,Cart Track (Kachha Road),,t,1
93,33100,Turning Point,36164,29.79388,75.2262,12,1,Farm land,Agricultural Land,,f,1
94,33200,Turning Point,36256,29.79314,75.22741,12,1,Farm land,Agricultural Land,,f,1
95,33500,Turning Point,36635,29.78967723,75.23052987,12,1,Farm land,Agricultural Land,,f,1
96,33600,Turning Point,36760,29.78867007,75.23135093,12,1,Farm land,Agricultural Land,,f,1
97,33700,Warning Board,36882,29.78799322,75.23211459,12,1,Farm land,Canal Crossing,Warning Board,t,1
98,33800,Turning Point,37005,29.78748079,75.23257822,12,1,Farm land,Agricultural Land,,f,1
99,34000,Turning Point,37242,29.78706306,75.23493117,12,1,Farm land,Agricultural Land,,f,1
100,34600,Turning Point,37788,29.78297315,75.23822344,12,1,Farm land,Agricultural Land,,f,1
101,34800,Turning Point,37948,29.78195048,75.23912929,12,1,Farm land,Agricultural Land,,f,1
102,35000,KM Post,38130,29.78047091,75.24006055,12,1,Farm land,Agricultural Land,,f,1
103,35300,Turning Point,38491,29.77934,75.24219,12,1,Farm land,Agricultural Land,,f,1
104,36000,KM Post,20028,29.77570148,75.24771992,11,2,Farm land,Agricultural Land,,f,1
105,36200,Turning Point,19811,29.77417186,75.24896229,11,2,Farm land,Agricultural Land,,f,1
106,37000,KM Post,19047,29.77028,75.25513,11,2,Farm land,Agricultural Land,,f,1
107,37100,Warning Board,18944,29.77025211,75.256171,11,2,Farm land,Cart Track (Kachha Road),Warning Board,t,1
108,37400,Turning Point,18617,29.76847,75.25944,11,2,Farm land,Agricultural Land,,f,1
109,37900,Warning Board,18135,29.7685764,75.26400111,11,2,Farm land,Agricultural Land,Warning Board,f,1
110,38000,KM Post,18036,29.76819317,75.26535667,11,2,Farm land,Cart Track (Kachha Road),,t,1
111,39000,KM Post,16943,29.76578792,75.27587475,11,2,Farm land,Agricultural Land,,f,1
112,40000.0000000001,KM Post,15881,29.763488,75.28587892,11,2,Farm land,Agricultural Land,,f,1
113,40200.0000000001,Bounday Pillar,15677,29.76303291,75.2879062,11,2,Farm land,Agricultural Land,,f,1
114,41000.0000000001,KM Post,14839,29.76078,75.29622,11,2,Farm land,Agricultural Land,,f,1
115,41100.0000000001,Turning Point,14718,29.76072128,75.29730194,11,2,Farm land,Major Road Crossing,,t,1
116,41500.0000000001,Turning Point,14232,29.75910544,75.30178367,11,2,Farm land,Agricultural Land,,f,1
117,41600.0000000001,Turning Point,14124,29.75880257,75.30264043,11,2,Farm land,Agricultural Land,,f,1
118,42000.0000000001,KM Post,13631,29.75701242,75.30728349,11,2,Farm land,Agricultural Land,,f,1
119,42300.0000000001,Turning Point,13239,29.75527865,75.31078995,11,2,Farm land,Agricultural Land,,f,1
120,43000.0000000001,KM Post,12309,29.75173936,75.31833514,11,2,Farm land,Minor Road Crossing,,t,1
121,43900.0000000001,Warning Board,11446,29.74914287,75.32462381,11,2,Farm land,Minor Road Crossing,Warning Board,t,1
122,44000.0000000001,KM Post,11349,29.74924266,75.32536442,11,2,Farm land,Agricultural Land,,f,1
123,44400.0000000001,Warning Board,10970,29.74763417,75.32855557,11,2,Farm land,Agricultural Land,Warning Board,f,1
124,44500.0000000001,Turning Point,10870,29.74722212,75.32942569,11,2,Farm land,Agricultural Land,,f,1
125,45000.0000000001,KM Post,10399,29.74314,75.33375,11,2,Farm land,Agricultural Land,,f,1
126,45500.0000000001,Turning Point,9890,29.74318785,75.33844267,11,2,Farm land,Agricultural Land,,f,1
127,45700.0000000001,Turning Point,9691,29.74247142,75.34001498,11,2,Farm land,Agricultural Land,,f,1
128,46400.0000000001,Turning Point,8955,29.73918066,75.34637155,11,2,Farm land,Agricultural Land,,f,1
129,46500.0000000001,Turning Point,8846,29.73624,75.34717,11,2,Farm land,Agricultural Land,,f,1
130,46900.0000000002,Warning Board,8417.6,29.73583271,75.35012717,11,2,Farm land,Minor Road Crossing,Warning Board,t,1
131,47000.0000000002,KM Post,8310,29.7335,75.35077,11,2,Farm land,Agricultural Land,,f,1
132,48000.0000000002,KM Post,7446,29.72982474,75.35701261,11,2,Farm land,Agricultural Land,,f,1
133,48500.0000000002,Warning Board,6902,29.72660786,75.36083871,11,2,Farm land,Canal Crossing,Warning Board,t,1
134,48600.0000000002,TLP Board,6785,29.72594856,75.36158815,11,2,Farm land,Agricultural Land,,f,1
135,48800.0000000002,Turning Point,6560,29.72480031,75.36312543,11,2,Farm land,Agricultural Land,,f,1
136,49000.0000000002,KM Post,6346,29.72361504,75.36485956,11,2,Farm land,Cart Track (Kachha Road),,t,1
137,49700.0000000002,Turning Point,5715,29.72068954,75.37031021,11,2,Farm land,Agricultural Land,,f,1
138,49800.0000000002,Turning Point,5623,29.72029527,75.37099439,11,2,Farm land,Minor Road Crossing,,t,1
139,49900.0000000002,TLP Board,5535,29.71984636,75.37170533,11,2,Farm land,Agricultural Land,,f,1
140,50000.0000000002,KM Post,5449,29.71942758,75.37240081,11,2,Farm land,Agricultural Land,,f,1
141,50600.0000000002,TLP Board,4667,29.71551713,75.37879643,11,2,Farm land,Cart Track (Kachha Road),,t,1
142,51000.0000000002,KM Post,4151,29.7130005,75.38284922,11,2,Farm land,Agricultural Land,,f,1
143,51400.0000000002,Turning Point,3772,29.71051163,75.38412412,11,2,Farm land,Agricultural Land,,f,1
144,51800.0000000002,Turning Point,3393,29.70816011,75.38694927,11,2,Farm land,Agricultural Land,,f,1
145,52000.0000000002,KM Post,3207,29.70724457,75.38858595,11,2,Farm land,Agricultural Land,,f,1
146,52200.0000000002,Bounday Pillar,2997,29.70621079,75.38981382,11,2,Farm land,Minor Road Crossing,,t,1
147,52500.0000000002,Warning Board,2679,29.70538636,75.39061146,11,2,Farm land,Agricultural Land,Warning Board,f,1
148,53000.0000000002,KM Post,2160,29.7040504,75.39175113,11,2,Farm land,Agricultural Land,,f,1
149,54000.0000000003,KM Post,1252,29.69438564,75.40024485,11,2,Farm land,Agricultural Land,,f,1
150,54500.0000000003,Turning Point,625,29.69025483,75.40411517,11,2,Farm land,Agricultural Land,,f,1
151,55000,KM Post,271,29.68712,75.40704,11,2,Farm land,Agricultural Land,,f,1
152,55100,TLP Board,125,29.6867,75.40757,11,2,Farm land,Agricultural Land,,f,1
153,55500.0000000003,Warning Board,490,29.68306404,75.41004773,11,2,Farm land,Agricultural Land,Warning Board,f,1
154,56000.0000000003,KM Post,972,29.67954188,75.4128086,11,2,Farm land,Agricultural Land,,f,1
155,56700.0000000003,TLP Board,1689,29.67429823,75.41691843,11,2,Farm land,Cart Track (Kachha Road),,t,1
156,57000.0000000003,KM Post,1986,29.67204333,75.41868997,11,2,Farm land,Agricultural Land,,f,1
157,57900.0000000003,TLP Board,2746,29.66703693,75.42264888,11,2,Farm land,Agricultural Land,,f,1
158,58000.0000000003,KM Post,2833,29.66657421,75.42302628,11,2,Farm land,Agricultural Land,,f,1
159,58300.0000000003,Turning Point,3179,29.66404658,75.42502894,11,2,Farm land,Agricultural Land,,f,1
160,58600.0000000003,Warning Board,3521,29.6619956,75.42773584,11,2,Farm land,Agricultural Land,Warning Board,f,1
161,59000.0000000003,KM Post,3983,29.65970806,75.43153309,11,2,Farm land,Agricultural Land,,f,1
162,59600.0000000003,Turning Point,4667,29.65568151,75.43681786,11,2,Farm land,Agricultural Land,,f,1
163,59900.0000000004,Turning Point,4955,29.65410058,75.43913,11,2,Farm land,Agricultural Land,,f,1
164,60000.0000000004,KM Post,5096,29.65304008,75.43913,11,2,Farm land,Major Road Crossing,,t,1
165,60900.0000000004,Turning Point,6175,29.64767,75.44708,11,2,Farm land,Agricultural Land,,f,1
166,61000.0000000004,KM Post,6320,29.64697,75.44839,11,2,Farm land,Agricultural Land,,f,1
167,62000.0000000004,KM Post,7111,29.64341,75.45537,11,2,Farm land,Minor Road Crossing,,t,1
168,62400.0000000004,TLP Board,7774.6,29.641463,75.458828,11,2,Farm land,Minor Road Crossing,,t,1
169,62500.0000000004,Turning Point,7920,29.6387008,75.46143726,11,2,Farm land,Agricultural Land,,f,1
170,62800.0000000004,Turning Point,8419,29.63521142,75.46425232,11,2,Farm land,Agricultural Land,,f,1
171,63200.0000000004,TLP Board,8892,29.63181571,75.46675857,11,2,Farm land,Agricultural Land,,f,1
172,63400.0000000004,Turning Point,9013,29.63086,75.46725,11,2,Farm land,Agricultural Land,,f,1
173,64000.0000000004,KM Post,9380,29.62842223,75.46934648,11,2,Farm land,Agricultural Land,,f,1
174,64200.0000000004,TLP Board,9637,29.62665715,75.47087731,11,2,Farm land,Agricultural Land,,f,1
175,65000.0000000004,KM Post,10583,29.62019,75.4768,11,2,Farm land,Agricultural Land,,f,1
176,65800.0000000004,Turning Point,11171,29.61607717,75.48051643,11,2,Farm land,Agricultural Land,,f,1
177,65900.0000000004,Turning Point,11244,29.61563725,75.48101163,11,2,Farm land,Agricultural Land,,f,1
178,66000.0000000004,KM Post,11313,29.6153465,75.48168375,11,2,Farm land,Minor Road Crossing,,t,1
179,66500.0000000005,Bounday Pillar,11906,29.61334947,75.48724424,11,2,Farm land,Agricultural Land,,f,1
180,67000.0000000005,KM Post,12513,29.611372,75.49282,11,2,Farm land,Minor Road Crossing,,t,1
181,67400.0000000005,Bounday Pillar,13104,29.60935114,75.49846055,11,2,Farm land,Agricultural Land,,f,1
182,67500.0000000005,TLP Board,13258,29.60884528,75.49989798,11,2,Farm land,Agricultural Land,,f,1
183,68000.0000000005,KM Post,14001,29.6063991,75.50663249,11,2,Farm land,Agricultural Land,,f,1
184,68400.0000000005,Turning Point,14272,29.60561686,75.50905068,11,2,Farm land,Agricultural Land,,f,1
185,69200.0000000005,TLP Board,14942,29.60304111,75.51362941,11,2,Farm land,Agricultural Land,,f,1
186,69300.0000000005,Turning Point,15064,29.6028001,75.51467808,11,2,Farm land,Canal Crossing,,t,1
187,70000.0000000005,KM Post,15823,29.6020503,75.52216704,11,2,Farm land,Agricultural Land,,f,1
188,71000.0000000005,KM Post,16631,29.599245,75.529526,11,2,Farm land,Cart Track (Kachha Road),,t,1
189,71100.0000000005,TLP Board,16726,29.59883731,75.53028387,11,2,Farm land,Agricultural Land,,f,1
190,71400.0000000005,Turning Point,17025,29.59800143,75.53293995,11,2,Farm land,Agricultural Land,,f,1
191,71500.0000000005,Bounday Pillar,17108,29.59777764,75.53366731,11,2,Farm land,Agricultural Land,,f,1
192,71900.0000000005,Turning Point,17489,29.59690231,75.53714458,11,2,Farm land,Agricultural Land,,f,1
193,72000.0000000005,KM Post,17588,29.59689931,75.53808214,11,2,Farm land,Canal Crossing,,t,1
194,72200.0000000005,Turning Point,17747,29.59680757,75.53968749,11,2,Farm land,Agricultural Land,,f,1
195,72500.0000000005,Turning Point,17944,29.59658704,75.54169829,11,2,Farm land,Agricultural Land,,f,1
196,73000.0000000005,KM Post,18300,29.59635217,75.54532157,11,2,Farm land,Agricultural Land,,f,1
197,74000.0000000006,KM Post,19774,29.59443071,75.55969495,11,2,Farm land,Minor Road Crossing,,t,1
198,74400.0000000006,Turning Point,20063,29.59385314,75.56261624,11,2,Farm land,Agricultural Land,,f,1
199,75000.0000000006,KM Post,20497,29.59300233,75.56691428,11,2,Farm land,Agricultural Land,,f,1
200,75100.0000000006,TLP Board,20599,29.59284423,75.56787067,11,2,Farm land,Agricultural Land,,f,1
201,75500.0000000006,Bounday Pillar,21059,29.59211402,75.57198559,11,2,Farm land,Agricultural Land,,f,1
202,75700.0000000006,Turning Point,21282,29.59158459,75.57417835,11,2,Farm land,Agricultural Land,,f,1
203,75900.0000000006,TLP Board,21514,29.59112186,75.57651069,11,2,Farm land,Agricultural Land,,f,1
204,76000.0000000006,KM Post,21620,29.59086269,75.57780656,11,2,Farm land,Agricultural Land,,f,1
205,76700.0000000006,Turning Point,22573,29.58808438,75.58537303,11,2,Farm land,Agricultural Land,,f,1
206,77000.0000000006,KM Post,22976,29.58674,75.5882,11,2,Farm land,Minor Road Crossing,,t,1
207,77300.0000000006,Bounday Pillar,23266,29.58084056,75.60053217,11,2,Farm land,Agricultural Land,,f,1
208,78000.0000000006,KM Post,23944,29.5827096,75.596484,11,2,Farm land,Agricultural Land,,f,1
209,78300.0000000006,Bounday Pillar,24205,29.58162381,75.59883929,11,2,Farm land,Agricultural Land,,f,1
210,79000.0000000006,KM Post,24756,29.5793366,75.60378252,11,2,Farm land,Agricultural Land,,f,1
211,79500.0000000006,Turning Point,25571,29.5768725,75.61156564,11,2,Farm land,Agricultural Land,,f,1
212,79600.0000000006,TLP Board,25734,29.57631326,75.61310354,11,2,Farm land,Agricultural Land,,f,1
213,79800.0000000006,Turning Point,26057,29.5747471,75.61583757,11,2,Farm land,Agricultural Land,,f,1
214,79900.0000000006,Turning Point,26215,29.57392463,75.61718671,11,2,Farm land,Agricultural Land,,f,1
215,80000.0000000006,KM Post,26384,29.57313218,75.61861735,11,2,Farm land,Agricultural Land,,f,1
216,81000.0000000007,KM Post,27187,29.56926806,75.62502403,11,2,Farm land,Agricultural Land,,f,1
217,81200.0000000007,Warning Board,27329,29.56842567,75.62596333,11,2,Farm land,Agricultural Land,Warning Board,f,1
218,81300.0000000007,Turning Point,27398,29.56799474,75.62646611,11,2,Farm land,Agricultural Land,,f,1
219,81400.0000000007,Turning Point,27469,29.56759917,75.62698717,11,2,Farm land,Agricultural Land,,f,1
220,82000.0000000007,KM Post,27889,29.56526994,75.63032079,11,2,Farm land,Agricultural Land,,f,1
221,82200.0000000007,Bounday Pillar,28131,29.56391922,75.63226414,11,2,Farm land,Agricultural Land,,f,1
222,83300.0000000007,Turning Point,29454,29.55656935,75.6427778,11,2,Farm land,Agricultural Land,,f,1
223,83400.0000000007,Turning Point,29574,29.565258,75.630379,11,2,Farm land,Cart Track (Kachha Road),,t,1
224,84000.0000000007,KM Post,30271,29.55293254,75.64980328,11,2,Farm land,Agricultural Land,,f,1
225,84400.0000000007,Turning Point,30760,29.55088894,75.65390874,11,2,Farm land,Agricultural Land,,f,1
226,84500.0000000007,TLP Board,30852,29.55071872,75.6543951,11,2,Farm land,Agricultural Land,,f,1
227,84600.0000000007,Turning Point,30949,29.55024,75.65519,11,2,Farm land,Agricultural Land,,f,1
228,84900.0000000007,Turning Point,31318,29.54860488,75.65740159,11,2,Farm land,Agricultural Land,,f,1
229,85000.0000000007,KM Post,31436,29.54788376,75.65819211,11,2,Farm land,Agricultural Land,,f,1
230,86000.0000000008,KM Post,32242,29.54349143,75.66421686,11,2,Farm land,Agricultural Land,,f,1
231,86400.0000000008,Turning Point,32624,29.54116963,75.66703069,11,2,Farm land,Agricultural Land,,f,1
232,86500.0000000008,Turning Point,32672,29.54087911,75.66738602,11,2,Farm land,Agricultural Land,,f,1
233,86600.0000000008,TLP Board,32793,29.54014,75.66829,11,2,Farm land,Agricultural Land,,f,1
234,87000.0000000008,KM Post,33166,29.53769,75.67109,11,2,Farm land,Agricultural Land,,f,1
235,87400.0000000009,Warning Board,33728,29.53413524,75.67505219,11,2,Farm land,Agricultural Land,Warning Board,f,1
236,87600.0000000009,Turning Point,34005,29.5324241,75.67695602,11,2,Farm land,Agricultural Land,,f,1
237,87700.0000000009,Bounday Pillar,34139,29.53163017,75.6776555,11,2,Farm land,Agricultural Land,,f,1
238,87800.0000000009,Bounday Pillar,34268,29.5308127,75.67821377,11,2,Farm land,Agricultural Land,,f,1
239,87900.0000000009,Turning Point,34437,29.52977497,75.67880893,11,2,Farm land,Agricultural Land,,f,1
240,88000.0000000009,KM Post,34567,29.52883638,75.6793823,11,2,Farm land,Agricultural Land,,f,1
241,88500.000000001,TLP Board,35084,29.52496341,75.68168922,11,2,Farm land,Agricultural Land,,f,1
242,88700.000000001,Warning Board,35251,29.52376264,75.68241789,11,2,Farm land,Agricultural Land,Warning Board,f,1
243,88800.000000001,Warning Board,35395,29.52268,75.68317,11,2,Farm land,Agricultural Land,Warning Board,f,1
244,88900.000000001,TLP Board,35471.6,29.52207,75.68348,11,2,Farm land,Agricultural Land,,f,1
245,89000,KM Post,34963,29.52098,75.68491,10,1,Agricultural Land,Agricultural Land,,f,1
246,89750,TLP Board,34270,29.51686,75.69031,10,1,Agricultural Land,Agricultural Land,,f,1
247,90000,KM Post,34045,29.51491,75.69274,10,1,Minor Road Crossing,ASPHALT Road Bhuna to Mochiwala,,t,1
248,91000,KM Post,33062,29.51091,75.70006,10,1,Agricultural Land,Agricultural Land,,t,1
249,91708,Warning Board,33062,29.51091,75.70006,10,1,Agricultural Land,Agricultural Land,,t,1
250,91708,TLP Board,32256,29.50637,75.70569,10,1,Minor Road Crossing,ASPHALT Road Bhuna to Baijalpur,,t,1
251,92000,KM Post,31968,29.50532,75.70836,10,1,Agricultural Land,Agricultural Land,,f,1
252,92800,Bounday Pillar,31162,29.50293,75.71539,10,1,Agricultural Land,Agricultural Land,,f,1
253,92933,TLP Board,31228,29.50305,75.71521,10,1,Agricultural Land,Agricultural Land,,t,1
254,93400,TLP Board,30558,29.49967,75.72251,10,1,Agricultural Land,Agricultural Land,,f,1
255,93500,Bounday Pillar,30457,29.49914,75.72303,10,1,Agricultural Land,Agricultural Land,,f,1
256,93600,TLP Board,30356,29.49761,75.72418,10,1,Agricultural Land,Agricultural Land,,f,1
257,93614,TLP Board,30253,29.49907,75.72307,10,1,Agricultural Land,Agricultural Land,,t,1
258,94000,KM Post,29737,29.49555,75.7259,10,1,Agricultural Land,Agricultural Land,,f,1
259,95000,KM Post,28759,29.48798,75.73169,10,1,Agricultural Land,Agricultural Land,,f,1
260,95200,TLP Board,28660,29.48793983,75.73199463,10,1,Agricultural Land,Agricultural Land,,f,1
261,95811,TLP Board,28660,29.4876,75.73203,10,1,Minor Road Crossing,ASPHALT Road Kheri to Baijalpur,,t,1
262,96000,KM Post,27639,29.48123,75.738,10,1,Agricultural Land,Agricultural Land,,f,1
263,96800,TLP Board,26853,29.47880745,75.74182129,10,1,Agricultural Land,Agricultural Land,,f,1
264,97000,KM Post,26657,29.4774,75.74698,10,1,Agricultural Land,Agricultural Land,,f,1
265,97108,TLP Board,26837,29.47788,75.74507,10,1,Agricultural Land,Agricultural Land,,f,1
266,98000,KM Post,25642,29.47456,75.75696,10,1,Agricultural Land,Agricultural Land,,f,1
267,98994,TLP Board,24678,29.47139,75.76574,10,1,Agricultural Land,Agricultural Land,,f,1
268,99000,KM Post,24674,29.47139,75.76595,10,1,Agricultural Land,Agricultural Land,,t,1
